DROP,REGION,YEAR,WEEK
1382,5,2002,8
1383,6,2002,8
1384,7,2002,8
1385,8,2002,8
1386,0,2002,9
1387,1,2002,9
1388,2,2002,9
1389,3,2002,9
1390,4,2002,9
1391,5,2002,9
1392,6,2002,9
1393,7,2002,9
1394,8,2002,9
1395,0,2002,10
1396,1,2002,10
1397,2,2002,10
1398,3,2002,10
1399,4,2002,10
1400,5,2002,10
1401,6,2002,10
1402,7,2002,10
1403,8,2002,10
1404,0,2002,11
1405,1,2002,11
1406,2,2002,11
1407,3,2002,11
1408,4,2002,11
1409,5,2002,11
1410,6,2002,11
1411,7,2002,11
1412,8,2002,11
1413,0,2002,12
1414,1,2002,12
1415,2,2002,12
1416,3,2002,12
1417,4,2002,12
1418,5,2002,12
1419,6,2002,12
1420,7,2002,12
1421,8,2002,12
1422,0,2002,13
1423,1,2002,13
1424,2,2002,13
1425,3,2002,13
1426,4,2002,13
1427,5,2002,13
1428,6,2002,13
1429,7,2002,13
1430,8,2002,13
1431,0,2002,14
1432,1,2002,14
1433,2,2002,14
1434,3,2002,14
1435,4,2002,14
1436,5,2002,14
1437,6,2002,14
1438,7,2002,14
1439,8,2002,14
1440,0,2002,15
1441,1,2002,15
1442,2,2002,15
1443,3,2002,15
1444,4,2002,15
1445,5,2002,15
1446,6,2002,15
1447,7,2002,15
1448,8,2002,15
1449,0,2002,16
1450,1,2002,16
1451,2,2002,16
1452,3,2002,16
1453,4,2002,16
1454,5,2002,16
1455,6,2002,16
1456,7,2002,16
1457,8,2002,16
1458,0,2002,17
1459,1,2002,17
1460,2,2002,17
1461,3,2002,17
1462,4,2002,17
1463,5,2002,17
1464,6,2002,17
1465,7,2002,17
1466,8,2002,17
1467,0,2002,18
1468,1,2002,18
1469,2,2002,18
1470,3,2002,18
1471,4,2002,18
1472,5,2002,18
1473,6,2002,18
1474,7,2002,18
1475,8,2002,18
1476,0,2002,19
1477,1,2002,19
1478,2,2002,19
1479,3,2002,19
1480,4,2002,19
1481,5,2002,19
1482,6,2002,19
1483,7,2002,19
1484,8,2002,19
1485,0,2002,20
1486,1,2002,20
1487,2,2002,20
1488,3,2002,20
